"Checklist ID","Màn hình","IA","Phân loại","Thành phần","Mục kiểm tra","Đặc tả / Nguồn","Kết quả mong đợi","Nguồn gốc","Trạng thái","Kết quả thực tế","Ghi chú","Bằng chứng"
"GUI-FORGOT-IA01-01","Quên Mật Khẩu","IA-01","Hiển thị","Tiêu đề trang","Trang có đúng một thẻ <h1> mô tả nội dung trang","FR-21","Có đúng một thẻ <h1> trong DOM với nội dung liên quan đến ""Quên Mật Khẩu""","AI","Fail","DOM hiển thị 0 thẻ <h1> và 1 thẻ <h2> (""Quên Mật Khẩu"")","Trang Quên Mật Khẩu sử dụng thẻ <h2> thay vì <h1> tiêu đề chính","[Bằng chứng](Evidences/GUI-FORGOT-IA01-01.png)"
"GUI-FORGOT-IA01-02","Quên Mật Khẩu","IA-01","Hiển thị","Ngôn ngữ giao diện","Tất cả nhãn, nút, và thông báo hiển thị bằng tiếng Việt","FR-21","Không có văn bản tiếng Anh bất thường trong nhãn hoặc thông báo (trừ thuật ngữ kỹ thuật chuẩn)","AI","Pass","Tất cả nhãn và nút hiển thị bằng tiếng Việt chuẩn","",""
"GUI-FORGOT-IA01-03","Quên Mật Khẩu","IA-01","Hiển thị","Nút gửi (Bước 1)","Nút ""Lấy mã OTP"" sử dụng màu xanh dương cho hành động tích cực","FR-21","Nền nút có màu xanh dương (không phải xanh lá, xám, hoặc màu khác)","AI","Pass","Nút ""Lấy mã OTP"" có màu nền xanh dương (rgb(37, 99, 235))","",""
"GUI-FORGOT-IA01-04","Quên Mật Khẩu","IA-01","Hiển thị","Thứ tự Tab","Phím Tab di chuyển focus từ trên xuống: ô email → nút gửi (Bước 1); ô OTP → ô mật khẩu → nút gửi → nút quay lại (Bước 2)","FR-21","Focus di chuyển theo thứ tự trên-xuống-dưới, trái-sang-phải, không bị nhảy cóc","AI","Pass","Thứ tự Tab chuyển focus từ ô email trực tiếp sang nút submit","",""
"GUI-FORGOT-IA01-05","Quên Mật Khẩu","IA-01","Bố cục","Vùng chứa trang","Không xuất hiện thanh cuộn ngang ở kích thước 1536×864","FR-21","Nội dung trang vừa vặn trong khung nhìn, không bị tràn ngang","AI","Pass","Nội dung vừa vặn khung nhìn 1536×864, không có thanh cuộn ngang","",""
"GUI-FORGOT-IA01-06","Quên Mật Khẩu","IA-01","Trợ năng","Viền focus","Tất cả phần tử tương tác (ô nhập, nút) hiển thị viền focus rõ ràng khi được focus bằng phím Tab","WCAG focus-visible, FR-21","Có viền hoặc đường bao rõ ràng quanh phần tử đang được focus","AI","Pass","Phần tử hiển thị viền focus rõ ràng khi nhận focus bàn phím","",""
"GUI-FORGOT-IA01-07","Quên Mật Khẩu","IA-01","Trợ năng","Tương phản chữ","Chữ nội dung và nhãn có đủ độ tương phản với nền trắng của thẻ","WCAG 4.5:1, FR-21","Tất cả văn bản đạt tỷ lệ tương phản 4.5:1 (gray-700 trên nền trắng chấp nhận được)","AI","Pass","Chữ gray-700 trên nền trắng đạt tỷ lệ tương phản ~10.7:1 (vượt WCAG 4.5:1)","",""
"GUI-FORGOT-IA02-01","Quên Mật Khẩu","IA-02","Biểu mẫu","Ô nhập email","Trường email sử dụng type=""email"" để kích hoạt xác thực HTML5","FR-22, FR-02","Kiểm tra phần tử input hiển thị type=""email""","AI","Fail","Trường email sử dụng type=""text""","Ô nhập email dùng type=""text"" nên không kích hoạt xác thực định dạng email HTML5","[Bằng chứng](Evidences/GUI-FORGOT-IA02-01.png)"
"GUI-FORGOT-IA02-02","Quên Mật Khẩu","IA-02","Biểu mẫu","Dấu bắt buộc","Nhãn trường email có ký hiệu * để chỉ trường bắt buộc","FR-22","Dấu * hiển thị bên cạnh nhãn email","AI","Fail","Nhãn hiển thị: ""Nhập Email của bạn""","Nhãn trường email thiếu ký hiệu dấu hoa thị * chỉ định trường bắt buộc","[Bằng chứng](Evidences/GUI-FORGOT-IA02-02.png)"
"GUI-FORGOT-IA02-03","Quên Mật Khẩu","IA-02","Biểu mẫu","Ô nhập mật khẩu","Trường mật khẩu mới sử dụng type=""password"" (ẩn ký tự)","FR-22","Ký tự được che dạng dấu chấm/bullet khi nhập","AI","Pass","Trường mật khẩu mới sử dụng type=""password"" che ký tự","",""
"GUI-FORGOT-IA02-04","Quên Mật Khẩu","IA-02","Biểu mẫu","Chỉ báo bước","Có chỉ báo bước trực quan hiển thị ""Bước 1/2"" hoặc ""Bước 2/2"" cho bước hiện tại","FR-03, FR-22","Chỉ báo bước (văn bản hoặc đồ họa tiến trình) hiển thị và cập nhật khi chuyển bước","AI","Fail","Không tìm thấy chỉ báo bước ""Bước 1/2""","Giao diện không cung cấp chỉ báo bước (Bước 1/2, Bước 2/2) cho người dùng","[Bằng chứng](Evidences/GUI-FORGOT-IA02-04.png)"
"GUI-FORGOT-IA02-05","Quên Mật Khẩu","IA-02","Biểu mẫu","Xác nhận mật khẩu","Bước 2 có trường ""Xác nhận mật khẩu mới"" phải khớp với mật khẩu mới","FR-03","Có ô nhập xác nhận mật khẩu riêng biệt hiển thị ở Bước 2","AI","Fail","Bước 2 chỉ có 2 ô nhập (Mã OTP + Mật khẩu mới)","Bước 2 thiếu ô nhập ""Xác nhận mật khẩu mới"" làm tăng nguy cơ nhập sai mật khẩu","[Bằng chứng](Evidences/GUI-FORGOT-IA02-05.png)"
"GUI-FORGOT-IA02-06","Quên Mật Khẩu","IA-02","Biểu mẫu","Nhãn OTP","Nhãn ô nhập OTP ghi đúng số chữ số theo đặc tả (6 chữ số)","FR-03","Nhãn ghi ""Mã OTP (6 số)"" hoặc tương đương; không ghi ""4 số""","AI","Fail","Nhãn hiển thị: ""Mã OTP (4 số)""","Nhãn ô nhập OTP ghi ""Mã OTP (4 số)"" sai so với đặc tả yêu cầu 6 chữ số (FR-03)","[Bằng chứng](Evidences/GUI-FORGOT-IA02-06.png)"
"GUI-FORGOT-IA02-07","Quên Mật Khẩu","IA-02","Biểu mẫu","Vị trí thông báo lỗi","Thông báo lỗi xác thực xuất hiện phía trên nút submit, không phải phía dưới","FR-22","Khi gửi dữ liệu không hợp lệ, thông báo lỗi hiển thị giữa các trường form và nút submit","AI","Fail","Bật popup alert: ""Lỗi: User not found""","Thông báo lỗi dùng window.alert thay vì hiển thị thông báo lỗi trên giao diện form","[Bằng chứng](Evidences/GUI-FORGOT-IA02-07.png)"
"GUI-FORGOT-IA02-08","Quên Mật Khẩu","IA-02","Biểu mẫu","Mật khẩu không khớp","Khi xác nhận mật khẩu không khớp mật khẩu mới, thông báo lỗi rõ ràng được hiển thị","FR-03","Thông báo lỗi nêu rõ hai trường mật khẩu không khớp nhau","AI","Fail","Không có ô nhập xác nhận mật khẩu ở Bước 2","Thiếu trường xác nhận mật khẩu để thực hiện và kiểm tra tính năng so sánh mật khẩu không khớp","[Bằng chứng](Evidences/GUI-FORGOT-IA02-08.png)"
"GUI-FORGOT-IA02-09","Quên Mật Khẩu","IA-02","Biểu mẫu","Liên kết nhãn","Nhấp vào nhãn văn bản sẽ focus vào ô nhập tương ứng","FR-22, heuristic","Nhấp vào ""Nhập Email của bạn"" sẽ focus ô nhập email (qua <label htmlFor> hoặc bọc ngoài)","AI","Fail","Nhấp vào nhãn không focus vào ô nhập email","Nhãn <label> thiếu thuộc tính htmlFor/id để liên kết với ô nhập","[Bằng chứng](Evidences/GUI-FORGOT-IA02-09.png)"
"GUI-FORGOT-IA02-10","Quên Mật Khẩu","IA-02","Biểu mẫu","Độ mạnh mật khẩu","Thông báo lỗi mật khẩu yếu liệt kê đúng yêu cầu: chữ hoa, chữ thường, chữ số, và ký tự đặc biệt (@$!%*?&)","FR-03, FR-01","Thông báo lỗi đề cập yêu cầu ký tự đặc biệt (không phải khoảng trắng)","AI","Fail","Nhập ""Test1234!"" bị báo lỗi: ""Mật khẩu quá yếu! Phải dài tối thiểu 8 ký tự, gồm chữ hoa, chữ thường, số và KÝ TỰ ĐẶC BIỆT.""","Thông báo lỗi độ mạnh mật khẩu yêu cầu KÝ TỰ ĐẶC BIỆT nhưng Regex trong code lại bắt buộc ký tự khoảng trắng (\s)","[Bằng chứng](Evidences/GUI-FORGOT-IA02-10.png)"
"GUI-FORGOT-IA03-01","Quên Mật Khẩu","IA-03","Điều hướng","Highlight thanh điều hướng","Thanh điều hướng header không highlight sai mục nào (vì Quên Mật Khẩu không nằm trong menu chính), hoặc highlight đúng nếu có","FR-23","Không có mục điều hướng nào bị highlight sai; trang hiện tại được phân biệt trực quan nếu có link","AI","Pass","Thanh điều hướng không bị highlight sai mục nào","",""
"GUI-FORGOT-IA03-02","Quên Mật Khẩu","IA-03","Điều hướng","Nhãn đăng xuất","Nếu người dùng đã đăng nhập, nút đăng xuất có nhãn ""Đăng xuất"" (không phải ""Thoát"")","FR-23","Nút hiển thị ""Đăng xuất""","AI","Pass","Không xuất hiện nút đăng xuất sai nhãn trên trang Quên Mật Khẩu","",""
"GUI-FORGOT-IA03-03","Quên Mật Khẩu","IA-03","Điều hướng","Quay lại đăng nhập (Bước 1)","Bước 1 cung cấp link hoặc nút để quay lại trang Đăng nhập","FR-03","Có link ""Quay lại đăng nhập"" hoặc tương đương điều hướng đến /login","AI","Pass","Có liên kết quay lại trang Đăng nhập","",""
"GUI-FORGOT-IA03-04","Quên Mật Khẩu","IA-03","Điều hướng","Nút quay lại (Bước 2)","Nút ""← Quay lại"" ở Bước 2 đưa người dùng về Bước 1 mà không mất giá trị email đã nhập","FR-03","Nhấn quay lại hiển thị form Bước 1; ô email giữ nguyên giá trị đã nhập trước đó","AI","Pass","Nút ""← Quay lại"" quay lại Bước 1 và giữ nguyên email ""admin@eshop.com""","",""
"GUI-FORGOT-IA03-05","Quên Mật Khẩu","IA-03","Điều hướng","Logo về trang chủ","Nhấn logo ""EShop"" trên header sẽ điều hướng về trang chủ /","FR-23, thành phần","Trình duyệt điều hướng đến / (trang chủ)","AI","Pass","Logo EShop trên header đưa về trang chủ /","",""
